VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.0049999999999998,-5.1e-06,5.025e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-7.500000000000014e-08,1.0125e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0074074074074074,0.0034919811372021,5.111923076923108e-06,-5.175972850678765e-06,-6.404977375565651e-08,-0.00609632842383263
1.6653345369377348e-16,-5.050000000000001e-06,5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,-5.0000000000000375e-08,1.005e-05,3.535533905932737e-08,3.535533905932737e-08,-0.0049751243781094,0.0035179877225738,5.134479638009081e-06,-5.155180995475145e-06,-2.0701357466063437e-08,-0.002118410005987992
0.0050000000000001,-5.1e-06,5.150000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,5.0000000000000375e-08,1.0250000000000002e-05,3.535533905932737e-08,3.535533905932737e-08,0.0048780487804878,0.0034493424100813,5.1475113122172265e-06,-5.108891402714964e-06,3.861990950226261e-08,0.0033901271577942566
0.0100000000000001,-5.1e-06,5.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.499999999999994e-07,1.035e-05,3.535533905932737e-08,3.535533905932737e-08,0.0144927536231883,0.0034163335150194,5.167782805429896e-06,-5.0694796380090806e-06,9.83031674208151e-08,0.008617889483406038
0.0150000000000001,-5e-06,5.0750000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,7.500000000000014e-08,1.0075e-05,3.535533905932737e-08,3.535533905932737e-08,0.0074441687344913,0.0035093120263296,5.1806334841629275e-06,-4.997828054298673e-06,1.8280542986425437e-07,0.016741819562522103
0.0250000000000001,-4.9000000000000005e-06,5.225000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,3.250000000000003e-07,1.0125000000000002e-05,3.535533905932737e-08,3.535533905932737e-08,0.0320987654320987,0.003493683774473,5.18742081447967e-06,-4.8917647058823835e-06,2.9565610859728693e-07,0.028439880766492384
0.0300000000000001,-4.800000000000001e-06,5.2e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,3.999999999999996e-07,1e-05,3.535533905932737e-08,3.535533905932737e-08,0.0399999999999999,0.0035383612025908,5.167036199095054e-06,-4.7402714932126984e-06,4.2676470588235566e-07,0.04338621940601872
0.0350000000000002,-4.7e-06,5.2e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,5.000000000000003e-07,9.9e-06,3.535533905932737e-08,3.535533905932737e-08,0.0505050505050505,0.0035757981652637,5.152149321267e-06,-4.579276018099575e-06,5.728733031674244e-07,0.06004018473364967
0.0400000000000002,-4.450000000000001e-06,5.150000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,7.000000000000001e-07,9.6e-06,3.535533905932737e-08,3.535533905932737e-08,0.0729166666666666,0.0036926253962642,5.117375565610891e-06,-4.380995475113149e-06,7.363800904977421e-07,0.07966950026050174
0.0450000000000002,-4.25e-06,5.0750000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,8.250000000000006e-07,9.325e-06,3.535533905932737e-08,3.535533905932737e-08,0.0884718498659518,0.0038062667253758,5.042239819004556e-06,-4.160859728506813e-06,8.813800904977431e-07,0.09822702194758486
0.0550000000000002,-3.800000000000001e-06,4.9000000000000005e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.0999999999999996e-06,8.700000000000001e-06,3.535533905932737e-08,3.535533905932737e-08,0.1264367816091953,0.0040961860213839,4.95871040723985e-06,-3.936538461538486e-06,1.0221719457013637e-06,0.11746020810708785
0.0600000000000002,-3.575e-06,4.800000000000001e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.2250000000000006e-06,8.375e-06,3.535533905932737e-08,3.535533905932737e-08,0.1462686567164179,0.0042664528700608,4.863280542986455e-06,-3.7197737556561318e-06,1.1435067873303237e-06,0.1353516700234896
0.0650000000000002,-3.4000000000000005e-06,4.675e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.2749999999999997e-06,8.075e-06,3.535533905932737e-08,3.535533905932737e-08,0.1578947368421052,0.0044326121912124,4.731855203619939e-06,-3.5126696832579403e-06,1.2191855203619983e-06,0.1491211359728972
0.0700000000000002,-3.425e-06,4.775e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.3500000000000002e-06,8.2e-06,3.535533905932737e-08,3.535533905932737e-08,0.1646341463414634,0.0043696680820728,4.602601809954779e-06,-3.3223981900452694e-06,1.2802036199095098e-06,0.16164776027950398
0.0750000000000002,-3.1500000000000003e-06,4.5e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.3499999999999998e-06,7.65e-06,3.535533905932737e-08,3.535533905932737e-08,0.1764705882352941,0.0046930240737153,4.462239819004552e-06,-3.162669683257938e-06,1.299570135746614e-06,0.16933462031802513
0.0800000000000002,-3.0500000000000004e-06,4.25e-06,2023/10/Data_1022/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-156.hdf5,2.5e-08,2.5e-08,1.1999999999999995e-06,7.3e-06,3.535533905932737e-08,3.535533905932737e-08,0.1643835616438355,0.004908197278908,4.3261990950226505e-06,-3.0349773755656295e-06,1.2912217194570214e-06,0.17411294900932045
