angle-from-z,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
90.0,-3.768477680715869e-06,3.762013342974614e-06,-7.31559556712393e-05,-2.368554703513813e-05,-3.769492085007817e-06,3.7611095385108138e-06,1.2955593076365118e-09,1.8770191815789164e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-8.382546497003144e-09,2.280718072804875e-09,7.530601623518631e-06,2.280718072804875e-09,-0.001113131050622,0.0003028601962764,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
105.0,-3.7828339858633374e-06,3.758140334936266e-06,-7.263667214907963e-05,-2.4488277893873227e-05,-3.7823636995586895e-06,3.75838047898382e-06,1.10293760763088e-09,2.358847590977191e-09,17,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-2.398322057487048e-08,2.603964923685691e-09,7.54074417854251e-06,2.603964923685691e-09,-0.0031804845791103,0.0003453211025567,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
120.0,-3.808275367349624e-06,3.7720211952558073e-06,-7.708922199435306e-05,-2.8104158337785897e-05,-3.808873067513493e-06,3.771281077014224e-06,9.554676545475171e-10,3.0132649363364246e-09,15,23,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.7591990499268986e-08,3.161120689793588e-09,7.580154144527717e-06,3.161120689793588e-09,-0.0049592646511558,0.0004170310394837,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
135.0,-3.839563872325723e-06,3.795468576466837e-06,-7.004780643859668e-05,-2.0837017240437736e-05,-3.839466896797584e-06,3.79573321857762e-06,1.4265563802210759e-09,1.8384676179056518e-09,15,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.3733678219963534e-08,2.327020904082544e-09,7.635200115375204e-06,2.327020904082544e-09,-0.0057279020273346,0.0003047803648966,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
150.0,-3.870452687316698e-06,3.825677847586369e-06,-6.552779462708409e-05,-1.576252235798989e-05,-3.868699982935284e-06,3.824375846159869e-06,1.3746630143553204e-09,2.568716224937947e-09,17,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.4324136775414655e-08,2.913417485925406e-09,7.693075829095152e-06,2.913417485925406e-09,-0.0057615624439552,0.0003787127420255,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
165.0,-3.892941754918973e-06,3.850354008242547e-06,-6.027569814029529e-05,-9.63075268184287e-06,-3.891890712926245e-06,3.850000403994862e-06,1.840398438268578e-09,2.069643981840042e-09,19,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-4.1890308931383425e-08,2.7695654213518996e-09,7.741891116921108e-06,2.7695654213518996e-09,-0.0054108625785017,0.00035774282047,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
180.0,-3.905405889385103e-06,3.865456286696766e-06,-5.596575973214485e-05,-5.787581190747792e-06,-3.904401027829748e-06,3.8648431129996974e-06,1.7564481689637027e-09,1.606163204326279e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.955791483005081e-08,2.3800988234078863e-09,7.769244140829447e-06,2.3800988234078863e-09,-0.0050916040367638,0.0003063527971858,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
195.0,-3.900716946494015e-06,3.86204602483693e-06,-5.863787750872541e-05,-8.639995489375454e-06,-3.900753017441195e-06,3.863721841861216e-06,2.212753754249917e-09,2.248776229192172e-09,19,21,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.703117557997864e-08,3.154880933716337e-09,7.764474859302411e-06,3.154880933716337e-09,-0.0047693084530517,0.0004063271337238,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
210.0,-3.882931471444496e-06,3.845039882464527e-06,-5.305701012269244e-05,-3.455127010796613e-06,-3.881902043711039e-06,3.846490962149797e-06,1.7610649215445103e-09,1.597010841150656e-09,19,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.5411081561241895e-08,2.37735005513435e-09,7.728393005860837e-06,2.37735005513435e-09,-0.0045819462771093,0.0003076156981819,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
225.0,-3.850570371259363e-06,3.820532771449682e-06,-4.9422341941334685e-05,-5.789780767865616e-07,-3.850771642412106e-06,3.820205238645559e-06,2.0272654773425767e-09,1.987721776605817e-09,21,19,-1.2,2024/07/Data_0703/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS07-147.hdf5,-3.056640376654657e-08,2.8391624076156702e-09,7.670976881057665e-06,2.8391624076156702e-09,-0.0039846820346996,0.0003701203889961,Wsc=0.9um-NNE_diode-angle_20mT_-1.2V/data.csv
