VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
1.350000000000001,-3.4e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0415945165403851,3.5038914027149536e-08,-3.552760180995497e-08,-4.886877828054324e-10,-0.009924546770253905
1.3550000000000009,-4e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-6.000000000000001e-09,7.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.081081081081081,0.0383474207404139,3.4876018099547726e-08,-3.332126696832599e-08,1.5547511312217304e-09,0.020969170175631924
1.3600000000000008,-3.6000000000000005e-08,3.6000000000000005e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,7.200000000000001e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0392837100659193,3.281266968325812e-08,-3.293393665158391e-08,-1.2126696832579045e-10,-0.003955125780664341
1.3650000000000009,-2.8e-08,2.6e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.999999999999998e-09,5.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.037037037037037,0.0524141925227511,3.237466063348436e-08,-3.198371040724002e-08,3.909502262443475e-10,0.0037795382149932687
1.370000000000001,-3e-08,3.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,8.000000000000005e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.1176470588235295,0.0418813786744297,3.164162895927621e-08,-3.1250678733031864e-08,3.909502262443477e-10,0.005580284452079771
1.3750000000000009,-3.2e-08,2.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-8.000000000000002e-09,5.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1428571428571429,0.0510204081632653,3.1585520361991145e-08,-3.054298642533955e-08,1.0425339366515916e-09,0.015481676982460366
1.3800000000000008,-2.4e-08,3.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1e-08,5.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.1724137931034482,0.0494854983274311,3.197285067873322e-08,-2.9361085972850862e-08,2.61176470588237e-09,0.03917155737632955
1.385000000000001,-3e-08,3.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,2.0000000000000047e-09,6.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0322580645161291,0.0456435217470578,3.413936651583731e-08,-2.9087782805430043e-08,5.051583710407271e-09,0.08995991801488724
1.390000000000001,-3.6000000000000005e-08,2.8e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-8.000000000000005e-09,6.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.125,0.044538102542935,3.332669683257939e-08,-2.8946606334841807e-08,4.380090497737584e-09,0.06720301323890734
1.395000000000001,-2.4e-08,4.2000000000000006e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.8000000000000006e-08,6.600000000000002e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.2727272727272727,0.0444201528831876,3.3893212669683464e-08,-3.069321266968345e-08,3.2000000000000196e-09,0.03705144696989194
1.4000000000000008,-2.8e-08,3.6000000000000005e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,8.000000000000005e-09,6.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.125,0.044538102542935,3.283438914027169e-08,-3.0276923076923256e-08,2.557466063348432e-09,0.024013143715765715
1.4050000000000007,-3e-08,3e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0471404520791031,3.164162895927621e-08,-2.9319457013574844e-08,2.322171945701372e-09,0.028178527096364085
1.410000000000001,-3.2e-08,3.6000000000000005e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,4.000000000000003e-09,6.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0588235294117647,0.041666417227655,2.9600000000000182e-08,-2.7998190045249034e-08,1.6018099547511423e-09,0.0065779306126084805
1.415000000000001,-3.4e-08,3.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.999999999999998e-09,6.600000000000002e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.0303030303030302,0.0428746282091046,2.7476923076923245e-08,-2.727963800904994e-08,1.9728506787330583e-10,-0.019075434252468486
1.4200000000000008,-2.8e-08,1e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.8e-08,3.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.4736842105263158,0.0823604916748947,2.4790950226244496e-08,-2.762714932126714e-08,-2.8361990950226387e-09,-0.09596135035925256
1.4250000000000007,-2.6e-08,3e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,3.999999999999996e-09,5.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0714285714285713,0.0506363092889775,2.35221719457015e-08,-2.6005429864253552e-08,-2.4832579185520495e-09,-0.07458866008160155
1.430000000000001,-1e-08,1.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.9999999999999997e-09,2.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0909090909090909,0.1290950359653992,2.2028959276018234e-08,-2.6638914027149484e-08,-4.609954751131249e-09,-0.10893800915603456
1.435000000000001,-2.6e-08,2.6e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,5.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0543928293220421,2.146425339366529e-08,-2.5221719457013727e-08,-3.7574660633484375e-09,-0.09535344253190903
1.4400000000000008,-2.4e-08,1.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.2e-08,3.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.3333333333333333,0.0828173324999922,2.0857918552036324e-08,-2.2611764705882492e-08,-1.7538461538461641e-09,-0.017590910141645433
1.4450000000000007,-3e-08,3e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.0471404520791031,1.8955656108597397e-08,-2.1002714932126824e-08,-2.047058823529423e-09,-0.03515884472897148
1.450000000000001,-3e-08,1.6e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1.3999999999999996e-08,4.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.3043478260869564,0.0642722117202268,1.8828959276018212e-08,-1.9362895927601926e-08,-5.339366515837143e-10,0.011848142435031739
1.455000000000001,-6e-09,3e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,2.4e-08,3.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.6666666666666666,0.0944262872887552,1.7534841628959382e-08,-1.80633484162897e-08,-5.285067873303191e-10,0.011748791433809719
1.4600000000000009,-2.4e-08,1.6e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-7.999999999999999e-09,4e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.1999999999999999,0.0721110255092797,1.546244343891412e-08,-1.638552036199105e-08,-9.230769230769287e-10,0.005807568390688647
1.4650000000000007,-6e-09,8e-09,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,2e-09,1.4e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.1428571428571429,0.2040816326530612,1.5554751131221814e-08,-1.4675113122172034e-08,8.796380090497797e-10,0.06739150874700792
1.470000000000001,-6e-09,1e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,4e-09,1.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.25,0.1822172467139156,1.3463606981254017e-08,-1.1249127343244972e-08,2.214479638009036e-09,0.11304467576024102
1.475000000000001,-1.6e-08,6e-09,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,-1e-08,2.2000000000000002e-08,2.8284271247461902e-09,2.8284271247461902e-09,-0.4545454545454545,0.1412232024019426,1.1525590749120144e-08,-8.095748042806849e-09,3.4298427063132768e-09,0.1545553643571554
1.4800000000000009,-6e-09,1.4e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,7.999999999999999e-09,2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.3999999999999999,0.1523154621172781,9.960410830999045e-09,-5.574200962436248e-09,4.386209868562793e-09,0.18728993735935723
1.4850000000000008,-6e-09,6e-09,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,1.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.2357022603955158,8.987775623069719e-09,-4.0437118437118454e-09,4.944063779357868e-09,0.206614757588452
1.490000000000001,-6e-09,2.2e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,1.5999999999999998e-08,2.8e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.5714285714285714,0.1163444311325651,8.827393521511141e-09,-3.863506428212314e-09,4.9638870932988215e-09,0.20789618786604575
1.495000000000001,-6e-09,1e-08,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,4e-09,1.6e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.25,0.1822172467139156,9.698972922502316e-09,-5.392810457516366e-09,4.306162464985955e-09,0.18650059101374447
1.5,-6e-09,6e-09,2023/10/Data_1018/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-122.hdf5,2e-09,2e-09,0.0,1.2e-08,2.8284271247461902e-09,2.8284271247461902e-09,0.0,0.2357022603955158,1.1822222222222189e-08,-8.990849673202643e-09,2.8313725490195497e-09,0.13779432985315343
