field,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.005,8.099194808457159e-07,-8.045785435229735e-07,0.0001019337442549,8.9226547078294e-05,8.097296926971398e-07,-8.040170398917652e-07,5.44472481488145e-10,5.342268964680276e-10,21,23,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,5.7126528053745454e-09,7.62790049756628e-10,1.613746732588905e-06,7.62790049756628e-10,0.0035399934140903,0.0004726855917409,diode-lowfield_-5.5V/data.csv
0.0,8.103893266913473e-07,-8.045010154901717e-07,9.238172251747769e-05,7.964457017057262e-05,8.10231385699577e-07,-8.039281126057076e-07,6.202118333441646e-10,8.70977490103328e-10,23,19,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,6.303273093869421e-09,1.069235477566482e-09,1.6141594983052846e-06,1.069235477566482e-09,0.0039049877663807,0.0006624151027244,diode-lowfield_-5.5V/data.csv
0.005,8.130764453630439e-07,-8.060893448978233e-07,9.115010637181486e-05,7.867414947670961e-05,8.123281854594956e-07,-8.055427602584898e-07,1.398916735899796e-09,7.695421625410076e-10,23,19,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,6.785425201005733e-09,1.5966099003541316e-09,1.6178709457179855e-06,1.5966099003541316e-09,0.0041940460201505,0.0009868673065177,diode-lowfield_-5.5V/data.csv
0.01,8.105496886556107e-07,-8.026435783311224e-07,0.0001012869683074,8.821299560188181e-05,8.104462685977736e-07,-8.025390531353968e-07,6.09940509370634e-10,5.174680664637034e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,7.907215462376841e-09,7.998753807819016e-10,1.6129853217331704e-06,7.998753807819016e-10,0.0049022240660444,0.0004959034537819,diode-lowfield_-5.5V/data.csv
0.015,8.098134969054805e-07,-8.006339117812399e-07,9.594062750586637e-05,8.29771175491931e-05,8.096840287753004e-07,-8.011788389777569e-07,5.765017401038139e-10,5.331042915024357e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,8.505189797543545e-09,7.852098076062468e-10,1.6108628677530574e-06,7.852098076062468e-10,0.0052798968601263,0.0004874535058308,diode-lowfield_-5.5V/data.csv
0.02,8.06901026511183e-07,-7.982862084108008e-07,9.962782481408844e-05,8.617713714457059e-05,8.066975109984148e-07,-7.977714155164957e-07,5.671129565096811e-10,4.776579312456485e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,8.926095481919115e-09,7.41467601937552e-10,1.6044689265149105e-06,7.41467601937552e-10,0.0055632710203416,0.0004621336467168,diode-lowfield_-5.5V/data.csv
0.025,8.02628866953383e-07,-7.9284617890305e-07,9.593458577730998e-05,8.180889686717081e-05,8.025846023015938e-07,-7.928608236994789e-07,7.055177234324794e-10,5.77289088705274e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,9.723778602114911e-09,9.11601859374757e-10,1.5954454260010726e-06,9.11601859374757e-10,0.0060947108836478,0.0005713882626848,diode-lowfield_-5.5V/data.csv
0.03,7.957887552664885e-07,-7.863231050364903e-07,9.76969053834293e-05,8.378047234437276e-05,7.957385542934904e-07,-7.85640902286631e-07,6.245154128281685e-10,4.5818269851915355e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.0097652006859457e-08,7.745649656950871e-10,1.5813794565801212e-06,7.745649656950871e-10,0.0063853441151287,0.0004898133416571,diode-lowfield_-5.5V/data.csv
0.035,7.873187612766405e-07,-7.780881072824651e-07,9.926333759123143e-05,8.471704542892844e-05,7.88160854173129e-07,-7.772957322843982e-07,3.5712854169216886e-10,6.764791772054804e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.0865121888730763e-08,7.649606999603175e-10,1.5654565864575271e-06,7.649606999603175e-10,0.0069405450031146,0.0004886619858258,diode-lowfield_-5.5V/data.csv
0.04,7.802825928561522e-07,-7.683233922454697e-07,9.556111463010024e-05,8.045591425524698e-05,7.800948841102093e-07,-7.679053939856016e-07,6.36299045092028e-10,5.657940709031602e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.2189490124607712e-08,8.514689691669314e-10,1.5480002780958109e-06,8.514689691669314e-10,0.0078743462111014,0.0005500615074899,diode-lowfield_-5.5V/data.csv
0.045,7.6959948393578e-07,-7.561875450150843e-07,9.657873095490012e-05,8.146213000989516e-05,7.695939433596078e-07,-7.565159995049961e-07,4.3138765943015167e-10,5.72606667531302e-10,23,19,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.3077943854611733e-08,7.169195968934922e-10,1.5261099428646035e-06,7.169195968934922e-10,0.0085694637635763,0.000469786546842,diode-lowfield_-5.5V/data.csv
0.05,7.610777950093846e-07,-7.457184400428835e-07,9.380018994029569e-05,7.804992595753807e-05,7.610274088360364e-07,-7.450974105964603e-07,8.82564930880708e-10,8.499188286620797e-10,23,21,-5.5,2024/01/Data_0118/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-264.hdf5,1.5929998239576182e-08,1.2252684899787435e-09,1.5061248194324967e-06,1.2252684899787435e-09,0.0105768114528373,0.0008135693715396,diode-lowfield_-5.5V/data.csv
-0.05,3.0016021902938542e-06,-2.9905785934581232e-06,8.945699465423593e-05,4.72171334122986e-05,3.0000311192834257e-06,-2.989734931822757e-06,2.015212903471572e-09,2.007552064568461e-09,23,15,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,1.0296187460668576e-08,2.844529546035937e-09,5.989766051106183e-06,2.844529546035937e-09,0.0017189632070466,0.0004748989734022,diode-lowfield_-3.75V/data.csv
-0.045,3.0803161059145583e-06,-3.044852745729601e-06,9.464988152002208e-05,5.392561479561031e-05,3.0795489356315635e-06,-3.0438209396499515e-06,1.6429348516844532e-09,2.111055716056652e-09,23,17,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,3.5727995981612026e-08,2.6750310583570574e-09,6.1233698752815146e-06,2.6750310583570574e-09,0.005834695063226,0.000436863466749,diode-lowfield_-3.75V/data.csv
-0.04,3.1457000886735544e-06,-3.095165741570144e-06,9.808759181769302e-05,5.784891252030542e-05,3.144283345235792e-06,-3.093117973058938e-06,1.2096567990623738e-09,1.6365354237708282e-09,23,17,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,5.1165372176853916e-08,2.035071931105776e-09,6.237401318294731e-06,2.035071931105776e-09,0.0082029950560952,0.000326280175863,diode-lowfield_-3.75V/data.csv
-0.035,3.194992420774654e-06,-3.135868993533161e-06,0.0001018437008354,6.147239518299657e-05,3.1949316414019544e-06,-3.13663669478356e-06,1.3404503769562763e-09,1.673413638258332e-09,23,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,5.829494661839421e-08,2.144089647797221e-09,6.331568336185515e-06,2.144089647797221e-09,0.0092070311055845,0.0003386491953718,diode-lowfield_-3.75V/data.csv
-0.03,3.235025912762141e-06,-3.171284553726097e-06,0.0001096155193958,6.961864264961883e-05,3.233942877303529e-06,-3.1735762024018e-06,1.684457186631252e-09,1.5453178635202462e-09,21,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,6.036667490172873e-08,2.285914108821338e-09,6.407519079705329e-06,2.285914108821338e-09,0.0094212243694957,0.0003567707760826,diode-lowfield_-3.75V/data.csv
-0.025,3.2618019503462115e-06,-3.205940813769737e-06,0.0001146575964712,7.436688261777612e-05,3.2624191927527184e-06,-3.2063289714405616e-06,1.658456858547172e-09,1.722455101363782e-09,19,19,-3.75,2024/01/Data_0117/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-249.hdf5,5.6090221312156816e-08,2.3910940441304834e-09,6.46874816419328e-06,2.3910940441304834e-09,0.0086709545476874,0.0003696517269633,diode-lowfield_-3.75V/data.csv
