VectorMagnet - Field Z,ic+,ic-,center+,center-,ic+ from fit,ic- from fit,rmse+,rmse-,#points in +fit,#points in -fit,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err
0.175,1.4969282051955049e-06,-1.4106630087028029e-06,-2.2989379882323965e-05,-4.3346023465790646e-05,1.4921542724708908e-06,-1.4002857867458852e-06,4.263800441599182e-09,5.602177438910264e-09,41,41,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-105.hdf5,9.186848572500562e-08,7.040197885202983e-09,2.8924400592167763e-06,7.040197885202983e-09,0.03176158670333243,0.0024352269765372165
0.2,1.3973879956262044e-06,-1.304530427950534e-06,-2.2403433136554345e-05,-3.377385686606207e-05,1.3933247846153698e-06,-1.2977709386896277e-06,4.829284132720329e-09,4.499378535688048e-09,41,45,2023/11/Data_1120/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-106.hdf5,9.555384592574216e-08,6.6004842581400545e-09,2.6910957233049973e-06,6.6004842581400545e-09,0.03550741250050751,0.0024542582255583562
0.225,1.294643732802058e-06,-1.198627318498864e-06,-2.7962325873947893e-05,-3.359474869548166e-05,1.288057167919052e-06,-1.1928291804344642e-06,4.089690485386392e-09,5.077281631976735e-09,43,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-107.hdf5,9.522798748458791e-08,6.519536566096421e-09,2.4808863483535163e-06,6.519536566096421e-09,0.038384663427967036,0.002629841422513832
0.25,1.1956184863997142e-06,-1.1011240838288655e-06,-1.5612078069042366e-05,-1.2089942251710849e-05,1.1874425544503497e-06,-1.0937137750046357e-06,4.1496827589284235e-09,4.168422742692528e-09,41,41,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-107.hdf5,9.372877944571398e-08,5.881803733681031e-09,2.281156329454985e-06,5.881803733681031e-09,0.041088275378350636,0.00258060639283077
0.275,1.0846408135351271e-06,-1.0036391020018349e-06,-2.165623340988942e-05,-1.833979732701937e-05,1.0848875481802303e-06,-9.9914916103817e-07,3.1544891082013263e-09,3.750599502400111e-09,45,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-107.hdf5,8.573838714206023e-08,4.90079566613063e-09,2.0840367092184006e-06,4.90079566613063e-09,0.04114053594296602,0.002353577216951557
0.3,9.833434584481898e-07,-9.061655682897872e-07,-1.4296120672264183e-05,-5.981653207112217e-06,9.799942075602005e-07,-9.044765411757649e-07,2.810315934636649e-09,2.3596331639440874e-09,43,40,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-107.hdf5,7.551766638443563e-08,3.6695700457761323e-09,1.8844707487359654e-06,3.6695700457761323e-09,0.040073673966597854,0.0019488311751814725
0.325,8.793816157294403e-07,-8.147316538047269e-07,-1.849542886774652e-05,-7.696944685821242e-06,8.784071010992227e-07,-8.135154712986618e-07,1.712698465067913e-09,2.1046934903195892e-09,45,40,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-107.hdf5,6.489162980056083e-08,2.7134978755178047e-09,1.6919225723978844e-06,2.7134978755178047e-09,0.038353782176091485,0.0016049747081753481
0.35,7.801708057326584e-07,-7.250481083224078e-07,-1.2067898856117684e-05,1.8595657292447922e-07,7.78962668401518e-07,-7.239809706156341e-07,1.269177038382366e-09,1.5739667693953835e-09,45,41,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-108.hdf5,5.498169778588394e-08,2.02192525725309e-09,1.502943639017152e-06,2.02192525725309e-09,0.03658267439878128,0.0013462100079008534
0.375,6.811320111243011e-07,-6.38157602845411e-07,-2.693197656275676e-06,9.344159136495987e-06,6.806230853463068e-07,-6.375172864310973e-07,8.69595741117871e-10,7.661371059955543e-10,47,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-109.hdf5,4.310579891520949e-08,1.1589490144754352e-09,1.318140371777404e-06,1.1589490144754352e-09,0.03270197912008784,0.0008797003528708476
0.4,5.861732733060154e-07,-5.531664381778642e-07,2.491227047673208e-06,1.864542234763077e-05,5.864471066235461e-07,-5.523707462917931e-07,8.12812775909252e-10,6.440899127558266e-10,46,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-110.hdf5,3.4076360331752976e-08,1.0370710797216902e-09,1.1388178529153391e-06,1.0370710797216902e-09,0.029922572994898637,0.0009110633885513287
0.425,4.938165294547898e-07,-4.680041169369418e-07,1.3710911938864015e-05,3.023704730986713e-05,4.939636102927763e-07,-4.677120445871042e-07,5.441212256974521e-10,4.954832094932164e-10,45,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-111.hdf5,2.6251565705672068e-08,7.359154293423913e-10,9.616756548798805e-07,7.359154293423913e-10,0.027297733463941185,0.00076552792432432
0.45,4.042861739884324e-07,-3.834856182114273e-07,2.333687759065514e-05,3.799528000438109e-05,4.03750813454269e-07,-3.835523772172572e-07,3.768042101052077e-10,3.9315666826284815e-10,45,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-112.hdf5,2.019843623701181e-08,5.445673315142515e-10,7.873031906715262e-07,5.445673315142515e-10,0.025655219585460663,0.0006919145291859847
0.475,3.193044568593561e-07,-3.043468838023484e-07,3.94087314885649e-05,5.371651519146169e-05,3.195248846857824e-07,-3.0467399150571495e-07,4.863005372593385e-10,4.2785257016897315e-10,45,43,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-113.hdf5,1.4850893180067466e-08,6.477237330366375e-10,6.241988761914974e-07,6.477237330366375e-10,0.02379192553289919,0.0010379817325472747
0.5,2.426326780547575e-07,-2.3247868507074657e-07,6.604725890484655e-05,7.699844507521491e-05,2.42439699034632e-07,-2.323069212922469e-07,4.18904286578561e-10,4.4293055603405004e-10,43,41,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-114.hdf5,1.0132777742385111e-08,6.096460274475065e-10,4.747466203268789e-07,6.096460274475065e-10,0.02134354897652216,0.0012844427885584512
0.525,1.7880877422383152e-07,-1.7250562932455997e-07,9.8644921272559e-05,0.0001061156353164,1.7872136800825686e-07,-1.7227781868468098e-07,7.960169108730989e-10,6.56223707681624e-10,33,33,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-115.hdf5,6.443549323575883e-09,1.031635825725032e-09,3.5099918669293787e-07,1.031635825725032e-09,0.01835773291752054,0.0029396354296983163
0.55,1.2935849555710417e-07,-1.2429506392525197e-07,0.0001499335916132,0.0001555053485073,1.2753241004402397e-07,-1.2356659580793708e-07,1.0676316235959487e-09,9.247393563175548e-10,35,31,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-117.hdf5,3.965814236086887e-09,1.4124376661731756e-09,2.5109900585196105e-07,1.4124376661731756e-09,0.015793826911544954,0.005625724455302013
0.55,1.2603555738963392e-07,-1.224736190620143e-07,0.0001652339512209,0.0001731686431383,1.2610190996185672e-07,-1.219851833301463e-07,4.5742051625153903e-10,3.9023687401208137e-10,39,36,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-117.hdf5,4.116726631710417e-09,6.012639574484284e-10,2.4808709329200305e-07,6.012639574484284e-10,0.01659387667888452,0.0024239339693718394
0.55,1.2391084821853768e-07,-1.1959941124502497e-07,0.0001551559180033,0.0001630202824121,1.237331690834129e-07,-1.197637868614104e-07,3.1216939179968273e-10,3.7022417149664327e-10,39,39,2023/11/Data_1121/JS633-W2_Wsc@v3.1_Wsc=0.3um-N_WFS04-117.hdf5,3.9693822220025014e-09,4.842681760522364e-10,2.434969559448233e-07,4.842681760522364e-10,0.0163015681514391,0.0019890701092482475
