VectorMagnet - Field Z,ic-,ic+,datafile,rmse-,rmse+,delta,sigma,delta_err,sigma_err,eta,eta_err,ic+ smoothed,ic- smoothed,delta smoothed,eta smoothed
-0.1399999999999999,-3.6000000000000003e-06,2.9e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.000000000000001e-07,6.5e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1076923076923077,0.0043765867290229,2.910805429864271e-06,-3.6239457013574884e-06,-7.13140271493217e-07,-0.10911082445214233
-0.1379999999999999,-3.64e-06,2.94e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.000000000000001e-07,6.58e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1063829787234042,0.0043227769429136,2.933013574660651e-06,-3.655167420814502e-06,-7.221538461538506e-07,-0.1095823889304528
-0.1359999999999999,-3.7e-06,2.94e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000003e-07,6.64e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1144578313253012,0.0042874907824004,2.9539547511312396e-06,-3.6903529411764934e-06,-7.363981900452535e-07,-0.11080399736828894
-0.1339999999999999,-3.74e-06,2.98e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000003e-07,6.72e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1130952380952381,0.0042358008872871,2.9734479638009232e-06,-3.719819004524909e-06,-7.463710407239866e-07,-0.11150704333967226
-0.1319999999999999,-3.76e-06,2.98e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000002e-07,6.74e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.115727002967359,0.0042244871276634,2.992669683257937e-06,-3.747420814479661e-06,-7.547511312217244e-07,-0.11198898535957723
-0.1299999999999999,-3.78e-06,3.02e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.599999999999999e-07,6.799999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1117647058823529,0.0041853496120519,3.0127963800905162e-06,-3.778244343891426e-06,-7.654479638009099e-07,-0.11272946748626814
-0.1279999999999999,-3.820000000000001e-06,3.06e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.600000000000008e-07,6.88e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1104651162790698,0.0041360927310628,3.0322352941176655e-06,-3.8106063348416525e-06,-7.783710407239869e-07,-0.11377868821816786
-0.1259999999999999,-3.820000000000001e-06,3.04e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000006e-07,6.86e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1137026239067056,0.0041496381471062,3.054805429864272e-06,-3.8414660633484395e-06,-7.86660633484168e-07,-0.11409440794336954
-0.1239999999999999,-3.88e-06,3.08e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8e-07,6.96e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1149425287356321,0.0040905892260019,3.0747330316742273e-06,-3.87319457013577e-06,-7.984615384615436e-07,-0.11490791780626132
-0.1219999999999999,-3.86e-06,3.08e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-7.800000000000002e-07,6.9400000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1123919308357348,0.0041012036493795,3.0984253393665344e-06,-3.901339366515861e-06,-8.029140271493264e-07,-0.11466814579397061
-0.1199999999999999,-3.94e-06,3.12e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.200000000000002e-07,7.06e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1161473087818697,0.0040332028804265,3.121339366515856e-06,-3.933755656108622e-06,-8.124162895927653e-07,-0.11512293353060123
-0.1179999999999999,-3.98e-06,3.14e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.4e-07,7.12e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1179775280898876,0.0040000605528457,3.145701357466083e-06,-3.966117647058848e-06,-8.204162895927653e-07,-0.11534101959006529
-0.1159999999999999,-4.0200000000000005e-06,3.18e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.400000000000004e-07,7.2000000000000005e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1166666666666667,0.0039550153952173,3.170968325791875e-06,-4.002334841628984e-06,-8.313665158371092e-07,-0.11590822082190186
-0.1139999999999999,-4.04e-06,3.2000000000000003e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.4e-07,7.24e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1160220994475138,0.0039328734764334,3.196597285067893e-06,-4.036778280543012e-06,-8.401809954751182e-07,-0.11617006811956691
-0.1119999999999999,-4.08e-06,3.22e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.599999999999998e-07,7.299999999999999e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1178082191780821,0.0039013521172943,3.226171945701377e-06,-4.073357466063373e-06,-8.471855203619958e-07,-0.11606895297159149
-0.1099999999999999,-4.08e-06,3.26e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.199999999999998e-07,7.34e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1117166212534059,0.0038774150313748,3.2523800904977576e-06,-4.1064434389140515e-06,-8.540633484162943e-07,-0.11606645558293718
-0.1079999999999999,-4.139999999999999e-06,3.2800000000000004e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.59999999999999e-07,7.42e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1159029649595685,0.0038374145309125,3.2800904977375767e-06,-4.139945701357491e-06,-8.598552036199142e-07,-0.1159015168411245
-0.1059999999999999,-4.16e-06,3.3e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.599999999999998e-07,7.46e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1152815013404825,0.0038165680187538,3.3031674208144992e-06,-4.169647058823554e-06,-8.664796380090547e-07,-0.1159249145049521
-0.1039999999999999,-4.219999999999999e-06,3.34e-06,2023/10/Data_1013/JS633-W2_Wsc@v3.1_Wsc=inf-SSE_WFS03-101.hdf5,2e-08,2e-08,-8.799999999999992e-07,7.56e-06,2.8284271247461904e-08,2.8284271247461904e-08,-0.1164021164021163,0.0037665667625978,3.3290678733031885e-06,-4.196868778280568e-06,-8.678009049773805e-07,-0.11529222528809469
