Vg increasing,gate 15 - Source voltage,ic+,ic-,datapath
0.0,5.600000000000016,3.4655357846582546e-06,-3.4858893025280872e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,5.800000000000015,3.445630647614685e-06,-3.4659198602146023e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,6.000000000000014,3.445408188158331e-06,-3.4656599288632426e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,6.2000000000000135,3.427805124957854e-06,-3.465067358959136e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,6.400000000000013,3.405395050498566e-06,-3.4258554477920037e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,6.600000000000012,3.3853482286007463e-06,-3.4055189087502974e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,6.800000000000011,3.345332457781139e-06,-3.3656015505054194e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,7.000000000000011,3.3053756619101935e-06,-3.325665960368951e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,7.20000000000001,3.2859575962412963e-06,-3.325080249453607e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,7.400000000000009,3.305554353068499e-06,-3.3259619928645417e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,7.6000000000000085,3.305554183374755e-06,-3.32603206911212e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,7.800000000000008,3.2858291777810713e-06,-3.3060557449121765e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,8.000000000000007,3.2854596612851344e-06,-3.305620258571814e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,8.200000000000006,3.2656429884195534e-06,-3.2856399248928197e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,8.400000000000006,3.2657417669508097e-06,-3.285918493106377e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,8.600000000000005,3.2485663153284705e-06,-3.2855720079601247e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,8.800000000000004,3.2262097029144356e-06,-3.246305946345018e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,9.000000000000004,3.189656281446962e-06,-3.225613651589702e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,9.200000000000003,3.18600345323958e-06,-3.206128044145423e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,9.400000000000002,3.1758435688289486e-06,-3.205425742325871e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,9.600000000000001,3.1659058234286475e-06,-3.184732939820503e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,9.8,3.1267328334114793e-06,-3.146293677052849e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
0.0,10.0,3.125777758069789e-06,-3.1456610641770045e-06,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-10.0,6.944561530881279e-10,-6.92828411596986e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-9.79999999999993,,,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-9.59999999999993,1.7763390978063352e-10,-1.7218223010165202e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-9.399999999999931,7.411174149753564e-10,-7.397658608776722e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-9.199999999999932,3.467215497737067e-10,-3.5621496227689133e-10,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-8.999999999999932,1.6860269280885322e-09,-1.7226647141937263e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-8.799999999999933,3.284158356159394e-09,-3.1851612971654185e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
1.0,-8.599999999999934,1.6962098448435362e-09,-1.7014374714381258e-09,2024/01/Data_0115/JS633-W2_Wsc@v3.1_Wsc=0.9um-NNE_WFS06-206.hdf5
