gate,delta_slope,delta_slope_err,delta_yint,delta_yint_err,eta_slope,eta_slope_err,eta_yint,eta_yint_err,path,blim,quiet,parent_csv
5.0,4.33555069909463e-06,5.322194033864005e-08,-6.778527243954481e-09,7.052724384219003e-10,0.5874812075378968,0.0072102479471028,-0.0009243180956677,9.527374038682443e-05,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_5.0V/data.csv,0.02,True,diode-lowfield_5.0V/fit_slope/fit.csv
-3.2,8.894503464594659e-07,1.1665410134014392e-07,-1.1706020876686602e-08,1.6436097430492503e-09,0.1123265727575012,0.0147061848091439,-0.0014741585564962,0.0002065851303503,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-3.2V/data.csv,0.02,True,diode-lowfield_-3.2V/fit_slope/fit.csv
0.5,4.654859070449963e-06,8.113353705627654e-08,-9.90725303589269e-09,1.1311525416842056e-09,0.5797965077836009,0.0101013383965476,-0.0012419186809732,0.0001403827480616,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-0.5V/data.csv,0.02,True,diode-lowfield_-0.5V/fit_slope/fit.csv
-4.5,-1.145569795214982e-06,4.568283556015267e-08,-2.761347755123712e-08,6.192430513325941e-10,-0.1899594935734047,0.0075969566353094,-0.0045757146873912,0.0001027017450605,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.5V/data.csv,0.02,True,diode-lowfield_-4.5V/fit_slope/fit.csv
10.0,4.300986386851419e-06,5.533112901235309e-08,-1.0871718698308264e-08,7.181917628047241e-10,0.6430488675335563,0.0082712309749819,-0.0016304080354847,0.0001071580053111,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_10.0V/data.csv,0.02,True,diode-lowfield_10.0V/fit_slope/fit.csv
2.0,4.091444813168013e-06,7.090293671959119e-08,-1.0398398161120605e-08,9.883931103783832e-10,0.5206206857379523,0.0090191873197908,-0.0013262019315071,0.0001253556989756,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_2.0V/data.csv,0.02,True,diode-lowfield_2.0V/fit_slope/fit.csv
-5.0,-7.770232394391738e-07,3.5126549309798257e-08,-2.7254414355487472e-08,4.4564571019807716e-10,-0.1790990067004338,0.0081303488030018,-0.0062841655101207,0.0001028193550378,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.0V/data.csv,0.02,True,diode-lowfield_-5.0V/fit_slope/fit.csv
-4.1,-8.251857326101588e-07,7.704077256533132e-08,-1.1200552872977982e-08,9.988024859380984e-10,-0.1192855308048474,0.0111529839377306,-0.0016149046776379,0.0001441543752537,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.1V/data.csv,0.02,True,diode-lowfield_-4.1V/fit_slope/fit.csv
-4.0,-5.616347176060066e-07,6.55396241455843e-08,-1.8800613788671325e-08,8.744362759530466e-10,-0.0795439508572893,0.0093114370481985,-0.0026633909057432,0.0001239096621499,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-4.0V/data.csv,0.02,True,diode-lowfield_-4.0V/fit_slope/fit.csv
-5.6,6.294126590161697e-08,2.7899949965397525e-08,-1.3994855415557404e-08,3.6408757498869335e-10,0.0313857173676432,0.0131100025818068,-0.006554147817533,0.0001704462379993,../data/processed/centermax/JS633-W2_Wsc=0.9um-ENE_WFS06_slopes/diode-lowfield_-5.6V/data.csv,0.02,True,diode-lowfield_-5.6V/fit_slope/fit.csv
