field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
-0.04,-3.497292695950884e-06,3.4814903457156595e-06,-9.053285592322046e-05,-0.0001009463330075,-3.497507494939672e-06,3.4820844310211657e-06,2.301552532123902e-09,2.111684465674807e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.542306391850623e-08,3.123516502389293e-09,6.979591925960838e-06,3.123516502389293e-09,-0.002209737199841,0.0004475224571126,diode-lowfield_-3.9V/data.csv
-0.035,-3.537922100396847e-06,3.5242708922542104e-06,-9.040937661266524e-05,-0.0001009976235733,-3.5358850255439816e-06,3.525573973293289e-06,1.9678465761189662e-09,2.009517431952231e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.0311052250692524e-08,2.81257541347126e-09,7.061458998837271e-06,2.81257541347126e-09,-0.0014601872293516,0.0003982998998287,diode-lowfield_-3.9V/data.csv
-0.03,-3.572752050182682e-06,3.5653045876032435e-06,-9.099388138698072e-05,-0.0001020116758621,-3.571389038259068e-06,3.562433454593981e-06,2.2000253851170873e-09,1.806668816996335e-09,45,45,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-8.955583665087054e-09,2.846781324490261e-09,7.133822492853049e-06,2.846781324490261e-09,-0.001255369568567,0.0003990544438886,diode-lowfield_-3.9V/data.csv
-0.025,-3.601441063947877e-06,3.5933570683327072e-06,-9.321942002031696e-05,-0.0001044695644473,-3.6013230228180136e-06,3.591444310922203e-06,1.8002312314209007e-09,2.2337961132068644e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-9.87871189581068e-09,2.868915746751951e-09,7.192767333740217e-06,2.868915746751951e-09,-0.0013734229730289,0.0003988615673827,diode-lowfield_-3.9V/data.csv
-0.02,-3.624694366446152e-06,3.614371778355256e-06,-9.502710398252544e-05,-0.0001065192945552,-3.6253007071169583e-06,3.6121132799444008e-06,1.7534888778930187e-09,2.444518316024561e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.318742717255751e-08,3.008387116425357e-09,7.237413987061359e-06,3.008387116425357e-09,-0.0018221186733456,0.0004156722436905,diode-lowfield_-3.9V/data.csv
-0.015,-3.643030407310361e-06,3.628435504360145e-06,-9.337363135634703e-05,-0.0001050696637101,-3.6445928945372815e-06,3.6274696195154513e-06,1.480850779036991e-09,1.731072673393019e-09,45,43,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-1.7123275021830215e-08,2.27805435192897e-09,7.2720625140527324e-06,2.27805435192897e-09,-0.002354665542099,0.000313261975237,diode-lowfield_-3.9V/data.csv
-0.01,-3.657677347932776e-06,3.635728905994573e-06,-9.873582611556174e-05,-0.0001103565228518,-3.657982046593046e-06,3.637543885191744e-06,1.510566971963331e-09,1.906290805677102e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.043816140130229e-08,2.432232968404861e-09,7.2955259317847904e-06,2.432232968404861e-09,-0.0028014651160731,0.0003333882348526,diode-lowfield_-3.9V/data.csv
-0.005,-3.6711938271422815e-06,3.649758089802601e-06,-0.0001023669777002,-0.0001139303442332,-3.6711676963780086e-06,3.648541738084039e-06,2.0212407498224686e-09,2.281549960305669e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.262595829396949e-08,3.0480952068650502e-09,7.319709434462048e-06,3.0480952068650502e-09,-0.0030911006094646,0.0004164249682653,diode-lowfield_-3.9V/data.csv
0.0,-3.6723216051544377e-06,3.649840037196543e-06,-0.00010596751574,-0.0001171420485073,-3.6744416411507288e-06,3.650800278920711e-06,2.316775002568702e-09,2.0412789107425113e-09,43,39,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.3641362230017712e-08,3.087760677897389e-09,7.32524192007144e-06,3.087760677897389e-09,-0.0032273831346428,0.0004215255677024,diode-lowfield_-3.9V/data.csv
0.005,-3.678330961545976e-06,3.6498869672035495e-06,-9.93740791677772e-05,-0.0001104976211109,-3.6754419018527854e-06,3.650251701799914e-06,2.211655589404526e-09,1.949110265459661e-09,45,41,-3.9,2023/12/Data_1225/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-053.hdf5,-2.5190200052872445e-08,2.9479571355541303e-09,7.3256936036527e-06,2.9479571355541303e-09,-0.0034386095591429,0.0004024157606602,diode-lowfield_-3.9V/data.csv
