field,ic-,ic+,center-,center+,ic- from fit,ic+ from fit,rmse-,rmse+,#points in -fit,#points in +fit,gate,datafile,delta,delta_err,sigma,sigma_err,eta,eta_err,parent_csv
0.005,-5.125654232714028e-07,5.108331704527583e-07,5.586237341870517e-05,8.993234500437818e-05,-5.127283737024642e-07,5.108435234231855e-07,1.4860646988550736e-10,1.4390460155678988e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-1.8848502792787582e-09,2.0686328151958399e-10,1.0235718971256496e-06,2.0686328151958399e-10,-0.0018414439518823,0.0002020997575531,diode-lowfield_-5.5V/data.csv
0.01,-5.159989745755674e-07,5.160186096952513e-07,6.014235122294114e-05,9.159893293051844e-05,-5.161128896004662e-07,5.158792987733722e-07,7.54907486078896e-11,1.625122255282816e-10,9,13,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,-2.33590827093999e-10,1.7919005712241578e-10,1.0319921883738385e-06,1.7919005712241578e-10,-0.0002263494140029,0.0001736350950437,diode-lowfield_-5.5V/data.csv
0.015,-5.131474467764009e-07,5.145594720964725e-07,5.076639332520086e-05,8.532282675767967e-05,-5.132239545035854e-07,5.144887513780645e-07,1.8655459311788068e-10,2.0705808792092e-10,15,21,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,1.2647968744791234e-09,2.7870354857239516e-10,1.02771270588165e-06,2.7870354857239516e-10,0.0012306910941556,0.0002711883953945,diode-lowfield_-5.5V/data.csv
0.02,-5.104366983497784e-07,5.132270553404691e-07,5.175949215100471e-05,8.682632059066342e-05,-5.105152871886331e-07,5.133233697748481e-07,7.635980877356913e-11,1.4496788090882547e-10,15,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,2.808082586215079e-09,1.638490368941223e-10,1.0238386569634812e-06,1.638490368941223e-10,0.0027427002947352,0.0001600346422241,diode-lowfield_-5.5V/data.csv
0.025,-5.072824685146599e-07,5.119967386343633e-07,5.265027973790242e-05,8.800839886007232e-05,-5.073691612520219e-07,5.116763244643266e-07,7.252543052483587e-11,2.0847161036887687e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,4.307163212304728e-09,2.2072686832962959e-10,1.0190454857163483e-06,2.2072686832962959e-10,0.0042266643370457,0.0002166035206704,diode-lowfield_-5.5V/data.csv
0.03,-5.035835425480831e-07,5.091697692781216e-07,5.272550304514962e-05,8.884830536842536e-05,-5.035816563805599e-07,5.092282520818855e-07,9.279962822650206e-11,1.4359830222945395e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,5.6465957013255315e-09,1.7097439399558807e-10,1.0128099084624457e-06,1.7097439399558807e-10,0.0055751781791883,0.0001688145521797,diode-lowfield_-5.5V/data.csv
0.035,-4.98297526296455e-07,5.060711249669084e-07,5.48823922932072e-05,8.991895789604829e-05,-4.982663366571516e-07,5.057492046694189e-07,1.1617185677208477e-10,2.2322756178035839e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,7.4828680122673e-09,2.5164746103284554e-10,1.0040155413265706e-06,2.5164746103284554e-10,0.0074529404219982,0.0002506479627283,diode-lowfield_-5.5V/data.csv
0.04,-4.92143326638186e-07,5.013472282551035e-07,5.530993887808735e-05,8.965817820361987e-05,-4.92138242841779e-07,5.012250716899641e-07,1.1154740419173454e-10,2.883460275709541e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,9.086828848185142e-09,3.09170268618869e-10,9.93363314531743e-07,3.09170268618869e-10,0.0091475381819073,0.0003112488644546,diode-lowfield_-5.5V/data.csv
0.045,-4.856752332031267e-07,4.967204369139464e-07,5.518566410605549e-05,8.935850142784649e-05,-4.857901512279418e-07,4.968130070389501e-07,8.730265350993993e-11,2.520537967941397e-10,17,17,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,1.10228558110083e-08,2.6674495269492556e-10,9.82603158266892e-07,2.6674495269492556e-10,0.0112180138220299,0.0002714847128531,diode-lowfield_-5.5V/data.csv
0.05,-4.802269183042808e-07,4.928475433234402e-07,6.048962147711976e-05,8.591988283973238e-05,-4.802229632992936e-07,4.931333210681969e-07,1.7052469549044187e-10,3.9931588889533717e-10,17,23,-5.5,2024/01/Data_0121/JS633-W2_Wsc@v3.1_Wsc=0.9um-ENE_WFS06-308.hdf5,1.2910357768903264e-08,4.3420254593493715e-10,9.733562843674904e-07,4.3420254593493715e-10,0.0132637534438817,0.0004461272251884,diode-lowfield_-5.5V/data.csv
